iter	Passed	Remaining
442	1248	1570
443	1251	1567
444	1256	1567
445	1260	1565
446	1273	1575
447	1275	1571
448	1277	1567
449	1282	1568
450	1284	1563
451	1286	1560
452	1288	1555
453	1289	1550
454	1291	1547
455	1304	1555
456	1305	1551
457	1316	1557
458	1330	1567
459	1334	1566
460	1337	1564
461	1358	1582
462	1364	1582
463	1379	1593
464	1381	1588
465	1388	1591
466	1390	1587
467	1392	1583
468	1395	1579
469	1397	1576
470	1402	1574
471	1403	1570
472	1405	1565
473	1406	1561
474	1408	1556
475	1409	1551
476	1410	1546
477	1412	1542
478	1419	1543
479	1424	1543
480	1429	1542
481	1434	1541
482	1435	1537
483	1437	1532
484	1439	1528
485	1442	1525
486	1448	1526
487	1451	1523
488	1453	1519
489	1455	1514
490	1458	1511
491	1467	1515
492	1468	1510
493	1470	1505
494	1473	1503
495	1482	1506
496	1486	1504
497	1488	1500
498	1494	1500
499	1497	1497
500	1500	1494
501	1504	1492
502	1511	1493
503	1513	1489
504	1514	1484
505	1517	1481
506	1528	1485
507	1531	1483
508	1534	1479
509	1536	1476
510	1546	1480
511	1549	1477
512	1590	1509
513	1593	1506
514	1596	1503
515	1598	1499
516	1603	1498
517	1606	1494
518	1611	1493
519	1613	1489
520	1615	1485
521	1617	1481
522	1621	1478
523	1625	1476
524	1626	1471
525	1628	1467
526	1630	1463
527	1638	1464
528	1641	1461
529	1643	1457
530	1646	1454
531	1648	1449
532	1660	1454
533	1662	1450
534	1664	1446
535	1670	1445
536	1672	1442
537	1674	1438
538	1677	1434
539	1686	1437
540	1689	1433
541	1703	1439
542	1704	1434
543	1707	1430
544	1709	1427
545	1717	1428
546	1719	1424
547	1721	1420
548	1724	1416
549	1725	1412
550	1732	1411
551	1733	1407
552	1735	1402
553	1737	1398
554	1739	1394
555	1740	1390
556	1747	1389
557	1750	1386
558	1752	1382
559	1753	1377
560	1755	1373
561	1757	1369
562	1761	1367
563	1763	1363
564	1764	1358
565	1766	1354
566	1767	1349
567	1769	1345
568	1777	1346
569	1779	1342
570	1780	1338
571	1782	1333
572	1784	1329
573	1786	1325
574	1794	1326
575	1796	1322
576	1801	1320
577	1802	1316
578	1807	1314
579	1810	1311
580	1812	1307
581	1813	1302
582	1815	1298
583	1816	1294
584	1818	1290
585	1823	1288
586	1825	1284
587	1827	1280
588	1829	1276
589	1831	1272
590	1835	1270
591	1839	1267
592	1842	1264
593	1843	1260
594	1846	1256
595	1852	1255
596	1854	1251
597	1855	1247
598	1857	1243
599	1859	1239
600	1861	1235
601	1871	1237
602	1874	1233
603	1875	1229
604	1877	1225
605	1880	1222
606	1884	1220
607	1888	1217
608	1890	1213
609	1892	1209
610	1898	1208
611	1900	1204
612	1902	1200
613	1903	1196
614	1904	1192
615	1906	1188
616	1907	1184
617	1914	1183
618	1915	1179
619	1917	1175
620	1919	1171
621	1920	1167
622	1922	1163
623	1926	1160
624	1929	1157
625	1930	1153
626	1932	1149
627	1933	1145
